image_id;feature;type
1627;[0.011989571154117584, -0.21114659309387207, -0.0010055853053927422, 0.02052963525056839, 0.102413110435009, -0.08460069447755814, 0.24905842542648315, -0.3837267756462097, 0.05607600510120392, -0.43495115637779236, 0.4013254642486572, -0.26632124185562134, 0.30058950185775757, -0.20728226006031036, -0.05952894687652588, 0.07214372605085373, 0.12477533519268036, 0.1060280129313469, 0.0034469161182641983, 0.09946615993976593, -0.039623647928237915, 0.1818912923336029, -0.1119469553232193, 0.15768395364284515, 0.17593811452388763, -0.14626343548297882, -0.13771021366119385, -0.27080807089805603, 0.045584678649902344, -0.2580556869506836, -0.03512926027178764, 0.20756208896636963, -0.019648246467113495, 0.16159462928771973, 0.05800088867545128, 0.09933167695999146, 0.00946836918592453, 0.33424925804138184, 0.022034719586372375, -0.091278076171875, -0.08802404999732971, -0.31192755699157715, -0.1978982836008072, 0.07273080199956894, -0.14027827978134155, 0.06930974870920181, 0.20142056047916412, 0.24900951981544495, 0.23082081973552704, 0.04141479730606079, -0.21857815980911255, 0.15610966086387634, -0.22844022512435913, -0.10151612758636475, -0.14153563976287842, 0.12413693964481354, 0.007965277880430222, 0.2600853145122528, 0.4065212905406952, -0.06347830593585968, -0.2739858627319336, 0.029798857867717743, -0.441640168428421, 0.13200777769088745];0
1629;[-0.1180124431848526, -0.01785777509212494, 0.2457256317138672, -0.1637483537197113, -0.021106384694576263, 0.16620908677577972, 0.15532225370407104, -0.19416292011737823, 0.03935469686985016, 0.04427679628133774, 0.23108044266700745, -0.3152539134025574, 0.016656354069709778, 0.0036223437637090683, -0.0017098486423492432, -0.2399289608001709, -0.06600926071405411, 0.06601939350366592, 0.11045493930578232, -0.1066892147064209, 0.12051139771938324, -0.0611865408718586, 0.0915367603302002, 0.2360275685787201, -0.2204887419939041, 0.07843532413244247, 0.21869350969791412, -0.08407238870859146, -0.0783676728606224, -0.07765176892280579, -0.1212296187877655, 0.35759055614471436, 0.029309548437595367, -0.1006237268447876, -0.019140727818012238, -0.09666202962398529, 0.2718321681022644, 0.046282682567834854, 0.13618049025535583, -0.08161263167858124, -0.007104165852069855, -0.0788973942399025, -0.08821940422058105, -0.02195754647254944, 0.0637296512722969, -0.12476231157779694, -0.13343596458435059, 0.048250988125801086, -0.16581878066062927, 3.2588839530944824e-05, -0.05676494538784027, -0.06370857357978821, 0.18860195577144623, 0.2398519068956375, -0.21759174764156342, -0.004668425768613815, 0.10599014163017273, -0.12487991154193878, -0.13004916906356812, -0.17368701100349426, -0.10709618031978607, -0.20371344685554504, -0.13295772671699524, -0.05540801212191582];0
1636;[-0.09092750400304794, -0.1581209897994995, -0.039426036179065704, 0.11371549218893051, 0.11810705810785294, -0.10045214742422104, 0.09796679019927979, -0.26767709851264954, -0.0941392332315445, -0.4287906289100647, 0.333236962556839, -0.14412036538124084, 0.24890120327472687, -0.2908635437488556, -0.07782305777072906, -0.012579262256622314, -0.006108283996582031, 0.062105052173137665, 0.023109907284379005, -0.05352182686328888, -0.1593581736087799, 0.34371358156204224, -0.11096464097499847, 0.10163779556751251, 0.26964789628982544, -0.1579347550868988, -0.13955634832382202, -0.2296060174703598, 0.02042822539806366, -0.25177693367004395, -0.04502479359507561, 0.040255576372146606, -0.06496064364910126, 0.1894577443599701, -0.015886113047599792, -0.13300994038581848, -0.1815221905708313, 0.320872962474823, 0.24686451256275177, -0.19925753772258759, -0.1597873717546463, -0.1683664321899414, -0.16416041553020477, 0.002875450998544693, -0.03553011268377304, 0.1274847388267517, -0.005766153335571289, 0.23431754112243652, 0.20957660675048828, 0.05295218527317047, -0.07856351137161255, 0.26478004455566406, -0.1053585484623909, -0.20714546740055084, -0.17789369821548462, -0.04994368925690651, -0.05108501389622688, 0.27163296937942505, 0.38476574420928955, -0.15639686584472656, -0.3823244571685791, 0.07244038581848145, -0.35707932710647583, -0.010854151099920273];1
1637;[-0.003458157181739807, -0.014953825622797012, 0.09971193969249725, -0.16524402797222137, 0.023535214364528656, 0.23085466027259827, 0.11483229696750641, -0.14953087270259857, 0.15277987718582153, 0.06445453315973282, 0.17806324362754822, -0.25339680910110474, -0.055255793035030365, 0.10196997970342636, -0.02250838279724121, -0.43919637799263, -0.09332576394081116, 0.1877296268939972, 0.13422101736068726, -0.07611890882253647, 0.13871461153030396, -0.08654887229204178, 0.13990570604801178, 0.30881616473197937, -0.13943959772586823, 0.11793425679206848, 0.3021690249443054, -0.1334632933139801, -0.15182124078273773, 0.04238298535346985, -0.16014328598976135, 0.3555915355682373, 0.05124819278717041, -0.08417994529008865, 0.0554514117538929, -0.06389676779508591, 0.2113303244113922, -0.16261669993400574, 0.07275031507015228, 0.020620886236429214, 0.029892563819885254, -0.10548970103263855, 0.06344420462846756, -0.016730111092329025, 0.0809306725859642, -0.30198636651039124, -0.14716008305549622, -0.09937062859535217, -0.20375075936317444, 0.0722711905837059, -0.05063100531697273, -0.1550637036561966, 0.06884660571813583, 0.14506986737251282, -0.019336871802806854, 0.13357342779636383, 0.049703001976013184, -0.15106678009033203, -0.12390629947185516, -0.12541070580482483, 0.03302245959639549, -0.1932143270969391, -0.06827878206968307, 0.10446903109550476];0
1646;[-0.08309601247310638, -0.16992169618606567, 0.16398634016513824, 0.013684935867786407, 0.019527308642864227, -0.0516875758767128, 0.2195551097393036, -0.24214054644107819, 0.0540291890501976, -0.28704196214675903, 0.31380996108055115, -0.10400809347629547, 0.1731916218996048, -0.1614740937948227, -0.07865246385335922, -0.1706436276435852, -0.037453752011060715, 0.0794139876961708, -0.052357323467731476, 0.06479822099208832, 0.014215104281902313, 0.04758071526885033, -0.1274529993534088, 0.09386757016181946, 0.09771355986595154, -0.11055479943752289, 0.15830828249454498, -0.06366512179374695, -0.07594573497772217, -0.11436749994754791, -0.08626669645309448, 0.20879767835140228, 0.03286350890994072, -0.14369575679302216, -0.0025166943669319153, 0.1360151320695877, 0.05882890522480011, 0.23312412202358246, 0.08794521540403366, -0.13353875279426575, -0.03191693127155304, -0.1208583414554596, -0.11201152205467224, 0.00431065633893013, -0.1029314249753952, -0.04580345004796982, -0.030378758907318115, 0.06736770272254944, 0.17264987528324127, 0.17116031050682068, -0.13294656574726105, 0.1778361052274704, 0.059526316821575165, -0.058587685227394104, -0.10642120242118835, 0.006167151033878326, 0.061422426253557205, 0.0480802021920681, -0.026179548352956772, -0.20412078499794006, -0.12785206735134125, -0.051151469349861145, -0.2544785141944885, 0.15344391763210297];2
1649;[-0.01599165052175522, -0.07455158233642578, 0.09204676747322083, -0.008590444922447205, 0.017902173101902008, 0.16324037313461304, 0.138045072555542, -0.20497368276119232, 0.07921907305717468, -0.2959144413471222, 0.2268683910369873, -0.15343865752220154, 0.07532237470149994, -0.12220605462789536, -0.022505968809127808, -0.28179019689559937, -0.009145766496658325, 0.03463555872440338, -0.08317500352859497, -0.029351234436035156, 0.17810556292533875, 0.022735651582479477, 0.02902357280254364, 0.135740727186203, -0.12428036332130432, -0.16299143433570862, 0.1039808914065361, -0.14132213592529297, -0.13511575758457184, -0.111020028591156, -0.051608581095933914, 0.19322429597377777, 0.09108664095401764, -0.07122297585010529, -0.003160431981086731, 0.11062635481357574, 0.10150882601737976, 0.08095833659172058, 0.1561243087053299, -0.10080243647098541, 0.05833161994814873, -0.14636608958244324, -0.0012699663639068604, 0.05486132949590683, 0.07931650429964066, -0.13783523440361023, -0.0883484035730362, 0.03188036382198334, 0.07292342185974121, 0.08605943620204926, -0.14058424532413483, 0.08648006618022919, 0.02419435977935791, 0.11247190833091736, -0.1408775895833969, 0.04406750574707985, -0.04687267914414406, -0.09009510278701782, 0.1351289451122284, -0.15428274869918823, 0.0023886114358901978, -0.0828256756067276, -0.29274022579193115, 0.050122737884521484];0
1658;[-0.21121487021446228, -0.38390788435935974, 0.04697259142994881, 0.0007675662636756897, 0.15408366918563843, -0.12090300768613815, 0.36508315801620483, -0.31964078545570374, 0.04735918715596199, -0.37632352113723755, 0.28683188557624817, -0.08640601485967636, 0.3472617268562317, -0.25489839911460876, -0.13171148300170898, 0.06080659478902817, -0.094988152384758, 0.07846339792013168, -0.08726967126131058, 0.09254944324493408, -0.11037596315145493, 0.3525654971599579, -0.07897448539733887, -0.09166128188371658, 0.18782904744148254, -0.09565382450819016, -0.031319983303546906, -0.24151156842708588, -0.025742053985595703, -0.21149760484695435, 0.13659295439720154, -0.10960426926612854, -0.041768819093704224, 0.08193051815032959, -0.1313772350549698, 0.2356225848197937, -0.12210042774677277, 0.3873796761035919, 0.04549156874418259, -0.2445555180311203, -0.10206076502799988, -0.27300307154655457, -0.23605479300022125, -0.08784303069114685, -0.10363809019327164, 0.18731901049613953, 0.0683504045009613, 0.2485283613204956, 0.3988174498081207, 0.28490906953811646, -0.15691646933555603, 0.3442748785018921, -0.1526806652545929, -0.25191986560821533, -0.019835826009511948, -0.006535086780786514, 0.036060407757759094, 0.2665756642818451, 0.2054959535598755, -0.1444368064403534, -0.3114891052246094, 0.08854035288095474, -0.5078237652778625, 0.12849801778793335];1
1659;[-0.12493313103914261, -0.15862233936786652, 0.16180354356765747, -0.20410752296447754, -0.0011767372488975525, 0.12090617418289185, 0.21067798137664795, -0.2120501697063446, 0.18190573155879974, -0.06335344165563583, 0.2105194628238678, -0.3166700601577759, 0.14098957180976868, 0.016274208202958107, 0.00950746238231659, -0.40398940443992615, -0.22637939453125, 0.20072442293167114, -0.0181738268584013, -0.049015745520591736, 0.08619959652423859, -0.0816187784075737, 0.2042621672153473, 0.2846194803714752, -0.08268033713102341, 0.12557408213615417, 0.303098201751709, -0.12495239078998566, -0.2084406614303589, -0.0227975994348526, -0.13016045093536377, 0.45533937215805054, 0.05060705542564392, -0.18852576613426208, 0.04770958051085472, 0.1508386880159378, 0.2994423806667328, 0.004629094153642654, 0.07437200844287872, -0.007072157226502895, -0.01904091238975525, -0.15381570160388947, 0.0347883477807045, 0.16385391354560852, 0.09281561523675919, -0.25500380992889404, -0.08429159224033356, 0.04677021503448486, -0.030881935730576515, 0.11792205274105072, -0.10571268200874329, -0.0740467756986618, 0.12194651365280151, 0.18332743644714355, 0.039908792823553085, 0.14660705626010895, 0.12926536798477173, -0.20496046543121338, -0.11763205379247665, -0.16580995917320251, -0.02450672537088394, -0.2768299877643585, -0.15639331936836243, 0.2248586118221283];0
1664;[0.07212250679731369, 0.0056288838386535645, 0.046659305691719055, -0.1927335560321808, 0.011855445802211761, 0.3333149254322052, -0.051582492887973785, -0.25795987248420715, 0.26400038599967957, 0.0032068416476249695, 0.010694317519664764, -0.32807403802871704, -0.15016719698905945, 0.06684146076440811, -0.04058002680540085, -0.5257132053375244, -0.12693125009536743, 0.19448375701904297, 0.15536093711853027, -0.17493900656700134, 0.08103757351636887, -0.1283612996339798, 0.050767168402671814, 0.35112807154655457, -0.30256110429763794, 0.0040300581604242325, 0.3176083564758301, -0.11752234399318695, -0.31597447395324707, 0.017227139323949814, -0.13910908997058868, 0.4034472703933716, 0.08277449756860733, -0.2580411434173584, 0.2007342278957367, -0.07639097422361374, 0.2553331255912781, -0.15205857157707214, 0.10814766585826874, -0.009907740168273449, 0.02095252275466919, 0.014028689824044704, 0.1996239274740219, 0.004497267305850983, 0.041750311851501465, -0.28102821111679077, -0.2880263924598694, -0.2113068848848343, -0.2568029761314392, 0.10951001942157745, -0.15989406406879425, -0.30073702335357666, 0.25742870569229126, 0.2777267098426819, -0.1338050365447998, 0.029959790408611298, 0.02017400413751602, -0.1686215102672577, -0.020657338201999664, -0.17883089184761047, 0.09652151167392731, -0.30361250042915344, 0.10186844319105148, 0.07772035896778107];0
1672;[-0.07391174137592316, -0.09127567708492279, 0.041407510638237, -0.08914518356323242, 0.02724160999059677, 0.15162140130996704, 0.09663636982440948, -0.24697022140026093, 0.09086668491363525, -0.21075421571731567, 0.1978234052658081, -0.17032071948051453, 0.039593666791915894, -0.13414794206619263, -0.02109254151582718, -0.2779223918914795, -0.07382306456565857, 0.08437782526016235, 0.015400828793644905, 2.205371856689453e-05, 0.109685018658638, -0.029178615659475327, -0.007255852222442627, 0.19278746843338013, -0.040548183023929596, -0.061324939131736755, 0.1971675157546997, -0.1345917284488678, -0.16602176427841187, -0.12606729567050934, -0.07507319748401642, 0.2694746255874634, 0.08310985565185547, -0.1168866902589798, -0.010934565216302872, 0.0584065280854702, 0.1435493379831314, 0.0713764876127243, 0.08736948668956757, -0.030688688158988953, -0.023447714745998383, -0.08296102285385132, 0.08208344876766205, 0.004868615418672562, 0.05909378081560135, -0.14311087131500244, -0.16422820091247559, 0.0037658214569091797, 0.00967499054968357, 0.15220826864242554, -0.1300576776266098, 0.007435392588376999, 0.0530627965927124, 0.10496579110622406, -0.029172703623771667, 0.11601082980632782, 0.001207113265991211, -0.0532236285507679, 0.032383039593696594, -0.18006817996501923, -0.05901191383600235, -0.09647561609745026, -0.24575752019882202, 0.1230844110250473];0
1679;[-0.05828405171632767, -0.21762871742248535, -0.028181076049804688, 0.08637797087430954, 0.008750736713409424, -0.06279291957616806, 0.13627153635025024, -0.3577968180179596, -0.05905766040086746, -0.3397044837474823, 0.3200288414955139, -0.1359255015850067, 0.22905568778514862, -0.1284307986497879, -0.13149523735046387, -0.11903607845306396, -0.005023136734962463, 0.10471465438604355, 0.023538561537861824, 0.05469238758087158, -0.10672619193792343, 0.2696385383605957, -0.04538911581039429, 0.030299410223960876, 0.24651874601840973, -0.07742168009281158, -0.18712827563285828, -0.2776566743850708, -0.05604258179664612, -0.2225775420665741, 0.007468167692422867, 0.034089140594005585, -0.036587633192539215, 0.17192590236663818, -0.08361393958330154, 0.11610455811023712, 0.03829394653439522, 0.28343629837036133, 0.15396010875701904, -0.2130114585161209, -0.07707495987415314, -0.30616286396980286, -0.19585765898227692, -0.034469470381736755, -0.099169060587883, -0.015760496258735657, 0.07066603004932404, 0.23778259754180908, 0.2552456259727478, 0.04956088960170746, -0.204850971698761, 0.2738305330276489, -0.13467448949813843, -0.026500225067138672, 0.0315094031393528, 0.0005185939371585846, 0.06494882702827454, 0.1611817479133606, 0.31616687774658203, -0.056948550045490265, -0.2815876603126526, 0.09992014616727829, -0.4443618655204773, 0.0517551451921463];2
